IUPAC,image_url,descr
THC,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/THC.svg/220px-THC.svg.png,"Tetrahydrocannabinol (THC) is a cannabinoid found in cannabis.[9] It is the principal psychoactive constituent of cannabis and one of at least 113 total cannabinoids identified on the plant. Its chemical formula C21H30O2 includes compounds,[10] the term THC usually refers to the delta-9-THC isomer with chemical name (−)-trans-Δ9-tetrahydrocannabinol. It is a colorless oil."
Serotonin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Serotonin-2D-skeletal.svg/220px-Serotonin-2D-skeletal.svg.png,"Serotonin (/ˌsɛrəˈtoʊnɪn, ˌsɪərə-/)[6][7][8] or 5-hydroxytryptamine (5-HT) is a monoamine neurotransmitter. Its biological function is complex, touching on diverse functions including mood, cognition, reward, learning, memory, and numerous physiological processes such as vomiting and vasoconstriction.[9]"
Dopamine,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Dopamine.svg/220px-Dopamine.svg.png,"Dopamine (DA, a contraction of 3,4-dihydroxyphenethylamine) is a neuromodulatory molecule that plays several important roles in cells. It is an organic chemical of the catecholamine and phenethylamine families. Dopamine constitutes about 80% of the catecholamine content in the brain. It is an amine synthesized by removing a carboxyl group from a molecule of its precursor chemical, L-DOPA, which is synthesized in the brain and kidneys. Dopamine is also synthesized in plants and most animals. In the brain, dopamine functions as a neurotransmitter—a chemical released by neurons (nerve cells) to send signals to other nerve cells. Neurotransmitters are synthesized in specific regions of the brain, but affect many regions systemically. The brain includes several distinct dopamine pathways, one of which plays a major role in the motivational component of reward-motivated behavior. The anticipation of most types of rewards increases the level of dopamine in the brain,[4] and many addictive drugs increase dopamine release or block its reuptake into neurons following release.[5] Other brain dopamine pathways are involved in motor control and in controlling the release of various hormones. These pathways and cell groups form a dopamine system which is neuromodulatory.[5]"
Adrenaline,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Epinephrine.svg/300px-Epinephrine.svg.png,"Adrenaline, also known as epinephrine, is a hormone and medication[7][8] which is involved in regulating visceral functions (e.g., respiration).[7][9] It appears as a white microcrystalline granule.[10] Adrenaline is normally produced by the adrenal glands and by a small number of neurons in the medulla oblongata.[11] It plays an essential role in the fight-or-flight response by increasing blood flow to muscles, heart output by acting on the SA node,[12] pupil dilation response, and blood sugar level.[13][14] It does this by binding to alpha and beta receptors.[14] It is found in many animals, including humans, and some single-celled organisms.[15][16] It has also been isolated from the plant Scoparia dulcis found in Northern Vietnam.[17]"
Noradrenaline,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Norepinephrine.svg/220px-Norepinephrine.svg.png,"Norepinephrine (NE), also called noradrenaline (NA) or noradrenalin, is an organic chemical in the catecholamine family that functions in the brain and body as a hormone, neurotransmitter and neuromodulator. The name ""noradrenaline"" (from Latin ad, ""near"", and ren, ""kidney"") is more commonly used in the United Kingdom, whereas ""norepinephrine"" (from Ancient Greek ἐπῐ́ (epí), ""upon"", and νεφρός (nephrós), ""kidney"") is usually preferred in the United States.[2] ""Norepinephrine"" is also the international nonproprietary name given to the drug.[3] Regardless of which name is used for the substance itself, parts of the body that produce or are affected by it are referred to as noradrenergic."
Histamine,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Histamine.svg/220px-Histamine.svg.png,"Histamine is an organic nitrogenous compound involved in local immune responses communication, as well as regulating physiological functions in the gut and acting as a neurotransmitter for the brain, spinal cord, and uterus.[3][4] Discovered in 1910, histamine has been considered a local hormone (autocoid) because it's produced without involvement of the classic endocrine glands; however, in recent years, histamine has been recognized as a central neurotransmitter.[5] Histamine is involved in the inflammatory response and has a central role as a mediator of itching.[6] As part of an immune response to foreign pathogens, histamine is produced by basophils and by mast cells found in nearby connective tissues.  Histamine increases the permeability of the capillaries to white blood cells and some proteins, to allow them to engage pathogens in the infected tissues.[7] It consists of an imidazole ring attached to an ethylamine chain; under physiological conditions, the amino group of the side-chain is protonated."
Melatonin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Melatonin.svg/220px-Melatonin.svg.png,"Melatonin, an indoleamine, is a natural compound produced by various organisms, including bacteria and eukaryotes.[1] Its discovery in 1958 by Aaron B. Lerner and colleagues stemmed from the isolation of a substance from the pineal gland of cows that could induce skin lightening in common frogs. This compound was later identified as a hormone secreted in the brain during the night, playing a crucial role in regulating the sleep-wake cycle, also known as the circadian rhythm, in vertebrates.[2][3]"
Cortisone,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Cortison.svg/220px-Cortison.svg.png,"Cortisone is a pregnene (21-carbon) steroid hormone. It is a naturally-occurring corticosteroid metabolite that is also used as a pharmaceutical prodrug. Cortisol is converted by the action of the enzyme corticosteroid 11-beta-dehydrogenase isozyme 2 into the inactive metabolite cortisone, particularly in the kidneys. This is done by oxidizing the alcohol group at carbon 11 (in the six-membered ring fused to the five-membered ring). Cortisone is converted back to the active steroid cortisol by stereospecific hydrogenation at carbon 11 by the enzyme 11β-Hydroxysteroid dehydrogenase type 1, particularly in the liver."
Cortisol,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Cortisol3.svg/220px-Cortisol3.svg.png,"Cortisol is a steroid hormone in the glucocorticoid class of hormones and a stress hormone. When used as medication, it is known as hydrocortisone."
Estradiol,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Estradiol.svg/225px-Estradiol.svg.png,"Estradiol (E2), also spelled oestradiol, is an estrogen steroid hormone and the major female sex hormone. It is involved in the regulation of female reproductive cycles such as estrous and menstrual cycles. Estradiol is responsible for the development of female secondary sexual characteristics such as the breasts, widening of the hips and a female pattern of fat distribution. It is also important in the development and maintenance of female reproductive tissues such as the mammary glands, uterus and vagina during puberty, adulthood and pregnancy.[7] It also has important effects in many other tissues including bone, fat, skin, liver, and the brain."
Testosterone,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Testosteron.svg/225px-Testosteron.svg.png,"Testosterone is the primary male sex hormone and androgen in males.[3] In humans, testosterone plays a key role in the development of male reproductive tissues such as testicles and prostate, as well as promoting secondary sexual characteristics such as increased muscle and bone mass, and the growth of body hair. It is associated with increased aggression, sex drive, dominance, courtship display, and a wide range of behavioral characteristics.[4] In addition, testosterone in both sexes is involved in health and well-being, where it has a significant effect on overall mood, cognition, social and sexual behavior, metabolism and energy output, the cardiovascular system, and in the prevention of osteoporosis.[5][6] Insufficient levels of testosterone in men may lead to abnormalities including frailty, accumulation of adipose fat tissue within the body, anxiety and depression, sexual performance issues, and bone loss."
Progesterone,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Progesterone.svg/225px-Progesterone.svg.png,"Progesterone (P4) is an endogenous steroid and progestogen sex hormone involved in the menstrual cycle, pregnancy, and embryogenesis of humans and other species.[1][13] It belongs to a group of steroid hormones called the progestogens[13] and is the major progestogen in the body. Progesterone has a variety of important functions in the body. It is also a crucial metabolic intermediate in the production of other endogenous steroids, including the sex hormones and the corticosteroids, and plays an important role in brain function as a neurosteroid.[14]"
Cholesterol,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Cholesterol.svg/280px-Cholesterol.svg.png,"Cholesterol is the principal sterol of all higher animals, distributed in body tissues, especially the brain and spinal cord, and in animal fats and oils.[3][4]"
Vitamin A,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/All-trans-Retinol2.svg/220px-All-trans-Retinol2.svg.png,"Vitamin A is a fat-soluble vitamin, hence an essential nutrient. The term ""vitamin A"" encompasses a group of chemically related organic compounds that includes retinol, retinal (also known as retinaldehyde), retinoic acid, and several provitamin (precursor) carotenoids, most notably beta-carotene.[3][4][5][6] Vitamin A has multiple functions: essential in embryo development for growth, maintaining the immune system, and healthy vision, where it combines with the protein opsin to form rhodopsin – the light-absorbing molecule necessary for both low-light (scotopic vision) and color vision.[7]"
Vitamin D,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Cholecalciferol2.svg/280px-Cholecalciferol2.svg.png,"Vitamin D is a group of fat-soluble secosteroids responsible for increasing intestinal absorption of calcium, magnesium, and phosphate, and for many other biological effects.[1][2] In humans, the most important compounds in this group are vitamin D3 (cholecalciferol) and vitamin D2 (ergocalciferol).[2][3]"
Vitamin E,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Alpha-Tocopherol_Structural_Formulae_V.1.svg/280px-Alpha-Tocopherol_Structural_Formulae_V.1.svg.png,"Vitamin E is a group of eight fat soluble compounds that include four tocopherols and four tocotrienols.[1][2] Vitamin E deficiency, which is rare and usually due to an underlying problem with digesting dietary fat rather than from a diet low in vitamin E,[3] can cause nerve problems.[4] Vitamin E is a fat-soluble antioxidant which may help protect cell membranes from reactive oxygen species.[2][4] Worldwide, government organizations recommend adults consume in the range of 3 to 15 mg per day. As of 2016, consumption was below recommendations according to a worldwide summary of more than one hundred studies that reported a median dietary intake of 6.2 mg per day for alpha-tocopherol.[5] Foods rich in vitamin E include seeds and nuts, seed oils, peanut butter, and vitamin E-fortified foods, such as margarine.[2][4]"
Vitamin K,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/K-Vitamine.svg/280px-K-Vitamine.svg.png,"Vitamin K is a family of structurally similar, fat-soluble vitamers found in foods and marketed as dietary supplements.[1] The human body requires vitamin K for post-synthesis modification of certain proteins that are required for blood coagulation (""K"" from German/Danish koagulation, for ""coagulation"") or for controlling binding of calcium in bones and other tissues.[2] The complete synthesis involves final modification of these so-called ""Gla proteins"" by the enzyme gamma-glutamyl carboxylase that uses vitamin K as a cofactor."
Riboflavin,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Riboflavin.svg/220px-Riboflavin.svg.png,"Riboflavin, also known as vitamin B2, is a vitamin found in food and sold as a dietary supplement.[3] It is essential to the formation of two major coenzymes, flavin mononucleotide and flavin adenine dinucleotide. These coenzymes are involved in energy metabolism, cellular respiration, and antibody production, as well as normal growth and development. The coenzymes are also required for the metabolism of niacin, vitamin B6, and folate. Riboflavin is prescribed to treat corneal thinning, and taken orally, may reduce the incidence of migraine headaches in adults."
Thiamine,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Thiamin.svg/220px-Thiamin.svg.png,"Thiamine, also known as thiamin and vitamin B1, is a vitamin, an essential micronutrient for humans and animals.[3][4] It is found in food and commercially synthesized to be a dietary supplement or medication.[1][5] Phosphorylated forms of thiamine are required for some metabolic reactions, including the breakdown of glucose and amino acids.[1]"
Niacin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Niacin_structure.svg/110px-Niacin_structure.svg.png,"Niacin, also known as nicotinic acid, is an organic compound and a vitamer of vitamin B3, an essential human nutrient.[3] It is produced by plants and animals from the amino acid tryptophan.[4] Niacin is obtained in the diet from a variety of whole and processed foods, with highest contents in fortified packaged foods, meat, poultry, red fish such as tuna and salmon, lesser amounts in nuts, legumes and seeds.[3][5] Niacin as a dietary supplement is used to treat pellagra, a disease caused by niacin deficiency. Signs and symptoms of pellagra include skin and mouth lesions, anemia, headaches, and tiredness.[6] Many countries mandate its addition to wheat flour or other food grains, thereby reducing the risk of pellagra.[3][7]"
Pyridoxine,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Pyridoxin.svg/220px-Pyridoxin.svg.png,"Pyridoxine, is a form of vitamin B6 found commonly in food and used as a dietary supplement. As a supplement it is used to treat and prevent pyridoxine deficiency, sideroblastic anaemia, pyridoxine-dependent epilepsy, certain metabolic disorders, side effects or complications of isoniazid use, and certain types of mushroom poisoning.[4] It is used by mouth or by injection.[4]"
Folic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Folic_acid.svg/260px-Folic_acid.svg.png,"Folate, also known as vitamin B9 and folacin,[6] is one of the B vitamins.[3] Manufactured folic acid, which is converted into folate by the body, is used as a dietary supplement and in food fortification as it is more stable during processing and storage.[7] Folate is required for the body to make DNA and RNA and metabolise amino acids necessary for cell division and maturation of blood cells.[1][8] As the human body cannot make folate, it is required in the diet, making it an essential nutrient.[9] It occurs naturally in many foods.[6][1] The recommended adult daily intake of folate in the U.S. is 400 micrograms from foods or dietary supplements.[1]"
Cyanocobalamin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Cyanocobalamin-b12.png/220px-Cyanocobalamin-b12.png,"Cyanocobalamin is a form of vitamin B12 used to treat and prevent vitamin B12 deficiency except in the presence of cyanide toxicity.[7][8][2] The deficiency may occur in pernicious anemia, following surgical removal of the stomach, with fish tapeworm, or due to bowel cancer.[9] [5] It is used by mouth, by injection into a muscle, or as a nasal spray.[5][6]"
Ascorbic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/L-Ascorbic_acid.svg/220px-L-Ascorbic_acid.svg.png,"Ascorbic acid is an organic compound with formula C6H8O6, originally called hexuronic acid. It is a white solid, but impure samples can appear yellowish.  It dissolves freely in water to give mildly acidic solutions.  It is a mild reducing agent."
Biotin,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Biotin_structure.svg/220px-Biotin_structure.svg.png,"Biotin (also known as vitamin B7 or vitamin H) is one of the B vitamins.[1][2][3] It is involved in a wide range of metabolic processes, both in humans and in other organisms, primarily related to the utilization of fats, carbohydrates, and amino acids.[4] The name biotin, borrowed from the German Biotin, derives from the Ancient Greek word βίοτος (bíotos; 'life') and the suffix ""-in"" (a suffix used in chemistry usually to indicate 'forming').[5] Biotin appears as a white, needle-like crystalline solid.[6]"
Pantothenic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%28R%29-Pantothenic_acid_Formula_V.1.svg/220px-%28R%29-Pantothenic_acid_Formula_V.1.svg.png,"Pantothenic acid (vitamin B5) is a B vitamin and an essential nutrient.[6] All animals need pantothenic acid in order to synthesize coenzyme A (CoA), which is essential for cellular energy production and for the synthesis and degradation of proteins, carbohydrates, and fats.[6][7]"
Beta-carotene,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Beta-Carotin.svg/250px-Beta-Carotin.svg.png,"β-Carotene (beta-carotene) is an organic, strongly colored red-orange pigment abundant in fungi,[7] plants, and fruits. It is a member of the carotenes, which are terpenoids (isoprenoids), synthesized biochemically from eight isoprene units and thus having 40 carbons."
Lycopene,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Lycopene_powder.jpg/220px-Lycopene_powder.jpg,"Lycopene is an organic compound classified as a tetraterpene and a carotene.[3] Lycopene (from the Neo-Latin Lycopersicon, the name of a former tomato genus) is a bright red carotenoid hydrocarbon found in tomatoes and other red fruits and vegetables."
Lutein,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Luteine_-_Lutein.svg/300px-Luteine_-_Lutein.svg.png,"Lutein (/ˈljuːtiɪn, -tiːn/;[2] from Latin luteus meaning ""yellow"") is a xanthophyll and one of 600 known naturally occurring carotenoids. Lutein is synthesized only by plants, and like other xanthophylls is found in high quantities in green leafy vegetables such as spinach, kale and yellow carrots. In green plants, xanthophylls act to modulate light energy and serve as non-photochemical quenching agents to deal with triplet chlorophyll, an excited form of chlorophyll which is overproduced at very high light levels during photosynthesis. See xanthophyll cycle for this topic."
Zeaxanthin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Zeaxanthin2.svg/320px-Zeaxanthin2.svg.png,"Zeaxanthin is one of the most common carotenoids in nature, and is used in the xanthophyll cycle. Synthesized in plants and some micro-organisms, it is the pigment that gives paprika (made from bell peppers), corn, saffron, goji (wolfberries), and many other plants and microbes their characteristic color.[1][2]"
Quercetin,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Quercetin.svg/250px-Quercetin.svg.png,"Quercetin is a plant flavonol from the flavonoid group of polyphenols. It is found in many fruits, vegetables, leaves, seeds, and grains; capers, red onions, and kale are common foods containing appreciable amounts of it.[2][3] It has a bitter flavor and is used as an ingredient in dietary supplements, beverages, and foods."
Resveratrol,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Resveratrol.svg/250px-Resveratrol.svg.png,"Resveratrol (3,5,4′-trihydroxy-trans-stilbene) is a stilbenoid, a type of natural phenol or polyphenol and a phytoalexin produced by several plants in response to injury or when the plant is under attack by pathogens, such as bacteria or fungi.[6][7] Sources of resveratrol in food include the skin of grapes, blueberries, raspberries, mulberries, and peanuts.[8][9]"
Curcumin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Curcumin.svg/220px-Curcumin.svg.png,"Curcumin is a bright yellow chemical produced by plants of the Curcuma longa species. It is the principal curcuminoid of turmeric (Curcuma longa), a member of the ginger family, Zingiberaceae. It is sold as a herbal supplement, cosmetics ingredient, food flavoring, and food coloring.[1]"
Capsaicin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Kapsaicyna.svg/220px-Kapsaicyna.svg.png,"Capsaicin (8-methyl-N-vanillyl-6-nonenamide) (/kæpˈseɪsɪn/ or /kæpˈseɪəsɪn/) is an active component of chili peppers, which are plants belonging to the genus Capsicum. It is a chemical irritant for mammals, including humans, and produces a sensation of burning in any tissue with which it comes into contact. Capsaicin and several related amides (capsaicinoids) are produced as secondary metabolites by chili peppers, likely as deterrents against certain mammals and fungi.[6] Pure capsaicin is a hydrophobic, colorless, highly pungent (i.e., spicy) crystalline solid.[2]"
Piperine,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Piperin.svg/220px-Piperin.svg.png,"Piperine, possibly along with its isomer chavicine,[2] is the compound[3] responsible for the pungency of black pepper and long pepper. It has been used in some forms of traditional medicine.[4]"
Genistein,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Genistein.svg/220px-Genistein.svg.png,Genistein (C15H10O5) is a naturally occurring compound that structurally belongs to a class of compounds known as isoflavones. It is described as an angiogenesis inhibitor and a phytoestrogen.[1]
Silibinin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Silibinin_A.svg/220px-Silibinin_A.svg.png,"Silibinin (INN), also known as silybin (both from Silybum, the generic name of the plant from which it is extracted), is the major active constituent of silymarin, a standardized extract of the milk thistle, containing a mixture of flavonolignans consisting of silibinin, isosilibinin, silychristin, silidianin, and others.  Silibinin itself is a mixture of two diastereomers, silybin A and silybin B, in approximately equimolar ratio.[1]  Silibinin is used in pure forms as a medication, and more frequently as an active ingredient in milk thistle–derived herbal supplements."
Ellagic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Ellagic_acid.svg/220px-Ellagic_acid.svg.png,Ellagic acid is a polyphenol found in numerous fruits and vegetables. It is the dilactone of hexahydroxydiphenic acid.
